"geographicAreaM49","measuredElement","measuredItemCPC","fbsDistribParam","timePointYears","Value"
"106",141,"293","logmu",2009,NA
"106",111,"333","logmu",2009,5.47060726754829
"106",111,"336","logmu",2009,NA
"106",121,"339","logmu",2009,8.96128981570997
"106",121,"358","logmu",2009,10.4720168015599
"106",141,"358","logmu",2009,12.440823128998
"106",121,"366","logmu",2009,11.0850192209848
"106",141,"366","logmu",2009,12.9786003547069
"106",121,"367","logmu",2009,8.74162003083631
"106",141,"367","logmu",2009,10.5803556024085
"106",121,"373","logmu",2009,9.20030871618248
"106",141,"373","logmu",2009,11.2303499075672
"106",121,"388","logmu",2009,12.0906804740786
"106",141,"388","logmu",2009,15.1192251508458
"106",121,"393","logmu",2009,10.4812425616445
"106",141,"393","logmu",2009,12.7055567560136
"106",121,"394","logmu",2009,11.1339864968021
"106",141,"394","logmu",2009,12.9949324747979
"106",121,"397","logmu",2009,9.29146938958986
"106",141,"397","logmu",2009,11.1122712533881
"106",121,"399","logmu",2009,10.6821775403626
"106",141,"399","logmu",2009,12.5656107322561
"106",121,"401","logmu",2009,10.8872116168241
"106",141,"401","logmu",2009,12.7071559116517
"106",121,"402","logmu",2009,5.21140466641837
"106",141,"402","logmu",2009,7.67189764239075
"106",121,"403","logmu",2009,10.7210596668002
"106",141,"403","logmu",2009,12.8286214843017
"106",121,"406","logmu",2009,8.58602816737443
"106",141,"406","logmu",2009,10.5372211130538
"106",121,"414","logmu",2009,10.1987503319642
"106",141,"414","logmu",2009,12.0875060520393
"106",121,"417","logmu",2009,9.36930690984051
"106",141,"417","logmu",2009,11.2517341974823
"106",121,"420","logmu",2009,8.98563668004005
"106",141,"420","logmu",2009,10.8442435097152
"106",121,"426","logmu",2009,11.1618272749138
"106",141,"426","logmu",2009,12.839939731135
"106",111,"44","logmu",2009,11.2671714756555
"106",121,"44","logmu",2009,7.4283518742506
"106",141,"446","logmu",2009,8.11144871895705
"106",121,"449","logmu",2009,11.4484931656606
"106",141,"449","logmu",2009,13.3449466613806
"106",121,"459","logmu",2009,NA
"106",141,"459","logmu",2009,NA
"106",111,"463","logmu",2009,9.53678095280369
"106",121,"463","logmu",2009,12.0906804740786
"106",141,"463","logmu",2009,14.0578013777566
"106",121,"486","logmu",2009,8.24709463020372
"106",141,"486","logmu",2009,13.2520936639858
"106",141,"489","logmu",2009,5.88986569778879
"106",121,"490","logmu",2009,10.2906535904322
"106",141,"490","logmu",2009,14.7096970528105
"106",121,"495","logmu",2009,10.5197418607952
"106",141,"495","logmu",2009,13.4643960529917
"106",121,"497","logmu",2009,9.98776557621316
"106",141,"497","logmu",2009,13.2076419014149
"106",121,"507","logmu",2009,7.63488768916515
"106",141,"507","logmu",2009,10.4048713465268
"106",141,"512","logmu",2009,9.33396510099515
"106",121,"515","logmu",2009,12.3627686749833
"106",141,"515","logmu",2009,13.981937052746
"106",121,"521","logmu",2009,9.86618746958823
"106",141,"521","logmu",2009,13.5043738093866
"106",121,"523","logmu",2009,4.92731584253272
"106",141,"523","logmu",2009,7.07887783223038
"106",121,"526","logmu",2009,10.2910742998243
"106",141,"526","logmu",2009,12.2295989690646
"106",121,"530","logmu",2009,6.11945418921165
"106",141,"530","logmu",2009,9.05537542540483
"106",121,"531","logmu",2009,8.85358410309691
"106",141,"531","logmu",2009,11.5982039889808
"106",121,"534","logmu",2009,9.37325311116384
"106",141,"534","logmu",2009,13.9581999891882
"106",121,"536","logmu",2009,9.92668272084064
"106",141,"536","logmu",2009,11.8637192279658
"106",121,"541","logmu",2009,5.91020538202591
"106",141,"541","logmu",2009,8.85464436119235
"106",121,"544","logmu",2009,9.8769097613162
"106",141,"544","logmu",2009,11.973186146742
"106",121,"547","logmu",2009,6.21492273468263
"106",141,"547","logmu",2009,8.32006057565525
"106",141,"550","logmu",2009,7.87416827788233
"106",121,"552","logmu",2009,4.25025098397183
"106",141,"552","logmu",2009,7.54543924315037
"106",141,"554","logmu",2009,5.24224177225292
"106",141,"558","logmu",2009,11.4372026239769
"106",111,"56","logmu",2009,10.137186081665
"106",121,"56","logmu",2009,9.14373836469408
"106",121,"560","logmu",2009,10.8097466286166
"106",141,"560","logmu",2009,13.8220360725859
"106",121,"569","logmu",2009,6.43814545942628
"106",141,"569","logmu",2009,8.56021877334688
"106",141,"571","logmu",2009,8.37385868830811
"106",141,"572","logmu",2009,9.07485886546506
"106",121,"574","logmu",2009,8.84686426287113
"106",141,"574","logmu",2009,10.8654528218277
"106",121,"577","logmu",2009,6.01414206572398
"106",141,"577","logmu",2009,8.77347185033662
"106",141,"603","logmu",2009,4.32070168449262
